中国	China
平房区	Cottage areas
松北区	Songbei
香坊区	Xiangfang District
呼兰区	Hulan District
阿城区	A Cheng District
依兰县	Yilan County
方正县	Fangzheng County
宾　县	Bin County
巴彦县	Bayan County
木兰县	Mulan County
通河县	Tonghe County
延寿县	Yanshou County
双城市	The city of Shuangcheng
尚志市	Shangzhi City
五常市	Wuchang City
齐齐哈尔	Qigihar
龙沙区	Lonza District
建华区	Jianhua District
铁锋区	Tiefeng District
昂昂溪区	Ang'angxi District
富拉尔基区	Fulaerji District
碾子山区	Nianzishan District
梅里斯达斡尔族区	Meilisi Daur District
龙江县	Longjiang County
依安县	In Yi'an County
泰来县	Tailai County
甘南县	Gannan County
富裕县	Fuyu County
克山县	Keshan County
克东县	Kedong County
拜泉县	Baiquan County
讷河市	The city of Nehe
鸡西	Jixi
鸡冠区	Jiguan District
恒山区	Mt. Hengshan District
滴道区	Didao District
梨树区	Lishu District
城子河区	Chengzihe District
麻山区	The Mashan District
鸡东县	Jidong County
虎林市	The city of Hulin
密山市	The city of Mishan
鹤岗	Hegang
向阳区	Xiangyang District
工农区	Gongnong District
南山区	Nanshan District
兴安区	Xingan District
东山区	Dongshan District
兴山区	Xing mountain
萝北县	Luobei County
绥滨县	Suibin County
双鸭山	Shuangyashan
尖山区	Jianshan District
岭东区	The ridge East
四方台区	Sifangtai District
宝山区	Baoshan District
集贤县	Jixian County
友谊县	Friendship County
宝清县	Baoqing County
饶河县	Raohe County
大庆	Daqing
萨尔图区	Saertu District
龙凤区	Longfeng District
让胡路区	Ranghulu District
红岗区	Honggang District
大同区	Datong District
肇州县	Zhaozhou County
肇源县	Zhaoyuan County
林甸县	Lindian County
杜尔伯特蒙古族自治县	Mongolia Autonomous County Duerbote
伊春	Yichun
伊春区	Yichun District
南岔区	Nancha District
友好区	The friendly area
西林区	Xilin District
翠峦区	Cuiluan District
新青区	Xinqing District
美溪区	Meixi District
金山屯区	Jinshantun District
五营区	The five camp
乌马河区	Wumahe District
汤旺河区	Tangwanghe District
带岭区	Dailing District
乌伊岭区	Wuyiling District
红星区	Hongxing District
上甘岭区	Shangganling District
嘉荫县	Jiayin County
铁力市	Tieli City
佳木斯	Jiamusi
前进区	Forward area
东风区	Dongfeng District
桦南县	Huanan County
桦川县	Huachuan County
汤原县	Tangyuan County
抚远县	Fuyuan County
同江市	Tongjiang City
富锦市	The city of Fujin
七台河	Qitaihe
新兴区	The New District
桃山区	Peach mountain
茄子河区	Qiezihe District
勃利县	Boli County
牡丹江	Mudanjiang
东安区	Dongan District
阳明区	Yangming District
爱民区	Aimin District
东宁县	Dongning County
林口县	Linkou County
绥芬河市	The city of Suifenhe
海林市	The city of Hailin
宁安市	Ning'an City
穆棱市	Muling City
黑河	Heihe
爱辉区	Aihui District
嫩江县	Nenjiang County
逊克县	Xunke County
孙吴县	Sun Wuxian
北安市	The city of Bei'an
五大连池市	The city of Wudalianchi
绥化	Suihua
北林区	Beilin District
望奎县	Wangkui County
兰西县	Lanxi County
青冈县	Qinggang County
庆安县	Qing'an County
明水县	Mingshui County
绥棱县	Suileng County
安达市	Anda City
肇东市	The city of Zhaodong
海伦市	The city of Helen
大兴安岭	Greater Khingan Range
呼玛县	Huma County
塔河县	Tahe County
漠河县	Mohe County County
上海	Shanghai
黄浦	Huangpu
卢湾	Luwan
徐汇	Xuhui
长宁	Changning
静安	Jingan
普陀	Putuo
闸北	Zhabei
虹口	Hongkou
杨浦	Yangpu
闵行	Minhang
宝山	Baoshan
嘉定	Jiading
浦东新区	Pudong New Area
金山	Jinshan
松江	Songjiang
奉贤	Fengxian
青浦	Qingpu
崇明	Chongming
江苏	Jiangsu
南京	Nanjing
玄武区	Xuanwu District
白下区	Baixia District
秦淮区	Qinhuai District
建邺区	Jianye District
鼓楼区	Gulou District
下关区	Xiaguan District
浦口区	Pukou District
栖霞区	Qixia District
雨花台区	Yuhuatai District
江宁区	Jiangning District
六合区	Liuhe District
溧水县	Lishui County
高淳县	Gaochun County
无锡	Wuxi
崇安区	Chong'an District
南长区	The Southern District
北塘区	Beitang District
锡山区	Xishan District
惠山区	Huishan District
滨湖区	Binhu District
江阴市	The city of Jiangyin
宜兴市	The city of Yixing
徐州	Xuzhou
云龙区	Yunlong District
九里区	The nine district
贾汪区	Jiawang District
泉山区	Quanshan District
丰　县	Fengxian County
沛　县	Peixian
铜山县	Copper Mt. County
睢宁县	Suining County
新沂市	The city of Xinyi
邳州市	The city of Pizhou
常州	Changzhou
天宁区	Tianning District
钟楼区	Clock Tower District
戚墅堰区	Qishuyan District
新北区	New District
武进区	Wujin District
溧阳市	The city of Liyang
金坛市	The city of Jintan
苏州	Suzhou
姑苏区	Suzhou District
虎丘区	Huqiu District
吴中区	Wuzhong District
相城区	Xiangcheng District
吴江区	Wujiang District
常熟市	Changshou City
张家港市	The city of Zhangjiagang
昆山市	City of Kunshan
太仓市	The city of Taicang
南通	Nantong
崇川区	Chongchuan District
港闸区	Gangzha District
海安县	Haian County
如东县	Rudong County
启东市	The city of Qidong
如皋市	The city of Rugao
通州市	The city of Tongzhou
海门市	Haimen City
连云港	Lianyungang
连云区	Lianyun District
新浦区	Sinpo District
赣榆县	Ganyu County
东海县	Donghai County
灌云县	Guanyun County
灌南县	Guannan County
淮安	Huaian
淮安区	Huaian District
淮阴区	Huaiyin District
清浦区	Qingpu District
涟水县	Lianshui County
洪泽县	Hongze County
盱眙县	Xuyi County
金湖县	Jinhu County
盐城	Yancheng
亭湖区	Pavilion Lake
盐都区	Yandu District
响水县	Xiangshui County
滨海县	Binhai County
阜宁县	Funing County
射阳县	Sheyang County
建湖县	Jianhu County
东台市	The city of Dongtai
大丰市	Dafeng City
扬州	Yangzhou
广陵区	Guangling District
邗江区	Hanjiang District
维扬区	Weiyang District
宝应县	Baoying County
仪征市	The city of Yizheng
高邮市	The city of Gaoyou
江都市	Jiangdu
镇江	Zhenjiang
京口区	Jingkou District
润州区	Runzhou District
丹徒区	Dantu District
丹阳市	The city of Danyang
扬中市	The city of Yangzhong
句容市	The city of Jurong
泰州	Taizhou
海陵区	Hailing District
高港区	Gaogang District
兴化市	The city of Xinghua
靖江市	The city of Jingjiang
泰兴市	The city of Taixing
姜堰市	The city of Jiangyan
宿迁	Suqian
宿城区	Sucheng District
宿豫区	Suyu District
沭阳县	Shuyang County
泗阳县	Siyang County
泗洪县	Sihong County
浙江	Zhejiang
杭州	Hangzhou
上城区	Shangcheng District
下城区	Under the district
江干区	Jianggan District
拱墅区	Gongshu District
西湖区	Xihu District
滨江区	Binjiang District
萧山区	Xiaoshan District
余杭区	Yuhang District
桐庐县	Tonglu County
淳安县	Chunan County
建德市	The city of Jiande
富阳市	The city of Fuyang
临安市	The city of Ling'an
宁波	Ningbo
海曙区	Haishu District
江东区	Jiangdong District
江北区	Jiangbei District
北仑区	Beilun District
镇海区	Zhenhai District
鄞州区	Yinzhou District
象山县	Xiangshan County
宁海县	Ninghai County
余姚市	The city of Yuyao
慈溪市	Cixi City
奉化市	The city of Fenghua
温州	Wenzhou
鹿城区	Lucheng District
龙湾区	Longwan District
瓯海区	Ouhai District
洞头县	Dongtou County
永嘉县	Yongjia County
平阳县	Pingyang County
苍南县	Cangnan County
文成县	Wencheng County
泰顺县	Taishun County
瑞安市	The city of Ruian
乐清市	The city of Yueqing
嘉兴	Jiaxing
南湖区	The Lake District
秀洲区	Xiuzhou District
嘉善县	Jiashan County
海盐县	Haiyan County
海宁市	The city of Haining
平湖市	The city of Pinghu
桐乡市	The city of Tongxiang
湖州	Huzhou
吴兴区	Wu Xingqu
南浔区	Nanxun District
德清县	Deqing County
长兴县	Changxing County
安吉县	Anji County
绍兴	Shaoxing
越城区	Yuecheng District
绍兴县	Shaoxing County
新昌县	Xinchang County
诸暨市	The city of Zhuji
上虞市	The city of Shangyu
嵊州市	The city of Shengzhou
金华	Jinhua
婺城区	Wucheng District
金东区	Jindong District
武义县	Wuyi County
浦江县	Pujiang County
磐安县	Panan County
兰溪市	The city of Lanxi
义乌市	The city of Yiwu
东阳市	The city of Dongyang
永康市	The city of Yongkang
衢州	Quzhou
柯城区	Kecheng District
衢江区	Qujiang District
常山县	Changshan County
开化县	Kaihua County
龙游县	Longyou County
江山市	Jiangshan City
舟山	Zhoushan
定海区	Dinghai District
普陀区	Putuo District
岱山县	Daishan County
嵊泗县	Shengsi County
台州	Taizhou
椒江区	Jiaojiang District
黄岩区	Huangyan District
路桥区	Luqiao District
玉环县	Yuhuan County
三门县	Three county
天台县	Tiantai County
仙居县	Xianju County
温岭市	The city of Wenling
临海市	The city of Linhai
丽水	Lishui
莲都区	Liandu District
青田县	Qingtian County
缙云县	Jinyun County
遂昌县	Suichang County
松阳县	Songyang County
云和县	Yunhe County
庆元县	Qingyuan County
景宁畲族自治县	Jingning She Nationality Autonomous County
龙泉市	The city of Longquan
安徽	Anhui
合肥	Hefei
瑶海区	Yaohai District
庐阳区	Luyang District
蜀山区	Shushan District
包河区	Baohe District
长丰县	Changfeng County
肥东县	Feidong County
肥西县	Feixi County
庐江县	Lujiang County
巢湖市	The city of Chaohu
芜湖	Wuhu
镜湖区	Jinghu District
弋江区	Yijiang District
鸠江区	Jiujiang District
三山区	Sanshan District
芜湖县	Wuhu County
繁昌县	Fanchang County
南陵县	Nanling County
无为县	Wuwei County
蚌埠	Bengbu
龙子湖区	Longzihu District
蚌山区	Bengshan District
禹会区	Yuhui District
淮上区	Huaishang District
怀远县	Huaiyuan County
五河县	Wuhe County
固镇县	Guzhen County
淮南	Huainan
大通区	Datong District
田家庵区	Tianjiaan District
谢家集区	Xiejiaji District
八公山区	Bagongshan District
潘集区	Panji District
凤台县	Fengtai County
马鞍山	Ma'anshan
花山区	Huashan District
雨山区	Yushan District
博望区	Bowang District
当涂县	Dangtu County
含山县	Hanshan County
和县	The county
淮北	Huaibei
杜集区	Duji District
相山区	Xiangshan District
烈山区	Lieshan District
濉溪县	Suixi County
铜陵	Tongling
铜官山区	Tongguanshan District
狮子山区	The lion mountain
铜陵县	Tongling County
安庆	Anqing
迎江区	Yingjiang District
大观区	Daguan District
宜秀区	Yixiu District
怀宁县	Huaining County
枞阳县	Zongyang County
潜山县	Qianshan County
太湖县	Taihu County
宿松县	Susong County
望江县	Wangjiang County
岳西县	Yuexi County
桐城市	The city of Tongcheng
黄山	Mount Huangshan
屯溪区	Tunxi District
黄山区	Mount Huangshan District
徽州区	Huizhou District
歙　县	Shexian
休宁县	Xiuning County
黟　县	Yixian County
祁门县	Qimen County
滁州	Chuzhou
琅琊区	Langya District
南谯区	Nanqiao District
来安县	To County
全椒县	Quanjiao County
定远县	Dingyuan County
凤阳县	Fengyang County
天长市	Tianchang
明光市	Mingguang City
阜阳	Fuyang
颍州区	Yingzhou District
颍东区	Yingdong District
颍泉区	Yingquan District
临泉县	Linquan County
太和县	Taihe County
阜南县	Funan County
颍上县	Yingshang County
界首市	Jieshou City
宿州	Suzhou
埇桥区	Yongqiao District
砀山县	Dangshan County
萧　县	Xiaoxian
灵璧县	Lingbi County
泗　县	Sixian
六安	Lu'an
金安区	Jin'an District
裕安区	Yu'an District
寿　县	Shouxian County
霍邱县	Huoqiu County
舒城县	Shucheng County
金寨县	Jinzhai County
霍山县	Mount Holyoke County
亳州	Bozhou
谯城区	Qiaocheng District
涡阳县	Woyang County
蒙城县	Mengcheng County
利辛县	Lixin County
池州	Chizhou
贵池区	Guichi District
东至县	Dongzhi County
石台县	Shitai County
青阳县	Qingyang County
宣城	Xuancheng
宣州区	Xuanzhou District
郎溪县	Langxi County
广德县	Guangde County
泾　县	Jingxian County
绩溪县	Jixi County
旌德县	Jingde County
宁国市	The city of Ningguo
福建	Fujian
福州	Fuzhou
台江区	Taijiang District
仓山区	Cangshan District
马尾区	Mawei District
晋安区	Jinan District
闽侯县	Minhou County
连江县	Lianjiang County
罗源县	Luoyuan County
闽清县	Minqing County
永泰县	Yongtai County
平潭县	Pingtan County
福清市	The city of Fuqing
长乐市	The city of Changle
厦门	Xiamen
思明区	Siming District
海沧区	Haicang District
湖里区	The Lake District
集美区	Jimei District
同安区	Tongan District
翔安区	Xiangan District
莆田	Putian
城厢区	Chengxiang District
涵江区	Hanjiang District
荔城区	Licheng District
秀屿区	Xiuyu District
仙游县	Xianyou County
三明	Sanming
梅列区	Meilie District
三元区	Three Yuan area
明溪县	Mingxi County
清流县	Qingliu County
宁化县	Ninghua County
大田县	Datian County
尤溪县	Youxi County
沙　县	Shaxian County
将乐县	Jiangle County
泰宁县	Taining County
建宁县	Jianning County
永安市	The city of Yongan
泉州	Quanzhou
鲤城区	Licheng District
丰泽区	Fengze District
洛江区	Luojiang District
泉港区	Quangang District
惠安县	Huian County
安溪县	Anxi County
永春县	Yongchun County
德化县	Dehua County
金门县	Kinmen County
石狮市	Shishi
晋江市	The city of Jinjiang
南安市	The city of Nanan
漳州	Zhangzhou
芗城区	Xiangcheng District
龙文区	Longwen District
云霄县	Yunxiao County
漳浦县	Zhangpu County
诏安县	Zhaoan County
长泰县	Changtai County
东山县	Dongshan County
南靖县	Nanjing County
平和县	Pinghe County
华安县	Huaan County
龙海市	The city of Longhai
南平	Nanping
延平区	Yanping District
顺昌县	Shunchang County
浦城县	Pucheng County
光泽县	Guangze County
松溪县	Songxi County
政和县	Zhenghe County
邵武市	The city of Shaowu
武夷山市	The city of Wuyishan
建瓯市	The city of Jianou
建阳市	The city of Jianyang
龙岩	Longyan
新罗区	Xinluo District
长汀县	Changting County
永定县	Yongding County
上杭县	Shanghang County
武平县	Wuping County
连城县	Liancheng County
漳平市	The city of Zhangping
宁德	Ningde
蕉城区	Jiaocheng District
霞浦县	Xiapu County
古田县	Gutian County
屏南县	Pingnan County
寿宁县	Shouning County
周宁县	Zhou Ningxian
柘荣县	Zherong County
福安市	The city of Fu'an
福鼎市	The city of Fuding
江西	Jiangxi
南昌	Nanchang
东湖区	East Lake District
青云谱区	Qingyunpu District
湾里区	Wanli District
青山湖区	Castle Peak Lakes
南昌县	Nanchang County
新建县	Xinjian County
安义县	Anyi County
进贤县	Jinxian County
景德镇	Jingdezhen
昌江区	Changjiang District
珠山区	Zhushan District
浮梁县	Fuliang County
乐平市	The city of Leping
萍乡	Pingxiang
安源区	Anyuan District
湘东区	Xiangdong District
莲花县	Lotus county
上栗县	Shangli County
芦溪县	Luxi County
九江	Jiujiang
庐山区	Mount Lu District
浔阳区	Xunyang District
九江县	Jiujiang County
武宁县	Wuning County
修水县	Xiushui County
永修县	Yongxiu County
德安县	Dean County
星子县	Xingzi County
都昌县	Duchang County
湖口县	Hukou County
彭泽县	Pengze County
瑞昌市	The city of Ruichang
新余	Xinyu
渝水区	Yushui District
分宜县	Fenyi County
鹰潭	Yingtan
月湖区	The Lake District
余江县	Yujiang County
贵溪市	The city of Guixi
赣州	Ganzhou
章贡区	Zhanggong District
赣　县	Ganxian
信丰县	Xinfeng County
大余县	Dayu County
上犹县	Shangyou County
崇义县	Chongyi County
安远县	Anyuan County
龙南县	Longnan County
定南县	Dingnan County
全南县	QUANNAN County
宁都县	Ningdu County
于都县	Yudu County
兴国县	Xingguo County
会昌县	Huichang County
寻乌县	Xunwu County
石城县	Shicheng County
瑞金市	The city of Ruijin
南康市	Nankang
吉安	Ji'an
吉州区	Jizhou District
青原区	Qingyuan District
吉安县	Ji'an County
吉水县	Jishui County
峡江县	Xiajiang County
新干县	Xingan County
永丰县	Yongfeng County
泰和县	Taihe County
遂川县	Suichuan County
万安县	The Wanan County
安福县	Anfu county
永新县	Yongxin County
井冈山市	The city of Jinggangshan
宜春	Yichun
袁州区	Yuanzhou District
奉新县	Fengxin County
万载县	Wanzai County
上高县	County
宜丰县	Yifeng County
靖安县	Jing'an County
铜鼓县	Tonggu County
丰城市	The city of Fengcheng
樟树市	Zhangshu City
高安市	The city of Gao'an
抚州	Fuzhou
临川区	Linchuan District
南城县	Nancheng County
黎川县	Lichuan County
南丰县	Nanfeng County
崇仁县	Chongren County
乐安县	Le'an County
宜黄县	Yihuang County
金溪县	Jinxi County
资溪县	Zixi County
东乡县	Dongxiang County
广昌县	Guangchang County
上饶	Shangrao
信州区	Xinzhou District
上饶县	Shangrao County
广丰县	Guangfeng County
玉山县	Yushan County
铅山县	Qianshan County
横峰县	Hengfeng County
弋阳县	Yiyang County
余干县	Yugan County
鄱阳县	Poyang County
万年县	Million years the county
婺源县	Wuyuan County
德兴市	The city of Dexing
山东	Shandong
济南	Ji'nan
历下区	Lixia District
市中区	Central city
槐荫区	Huaiyin District
天桥区	Tianqiao District
历城区	Licheng District
长清区	Changqing District
平阴县	Pingyin County
济阳县	Jiyang County
商河县	Shanghe County
章丘市	The city of Zhangqiu
青岛	Qingdao
市南区	Shinan District
市北区	Shibei District
四方区	Sifang District
黄岛区	Huangdao District
崂山区	Laoshan District
李沧区	Licang District
城阳区	Chengyang District
胶州市	The city of Jiaozhou
即墨市	The city of Jimo
平度市	Pingdu City
胶南市	The city of Jiaonan
莱西市	The city of Laixi
淄博	Zibo
淄川区	Zichuan District
张店区	Zhangdian District
博山区	Boshan District
临淄区	Linzi District
周村区	Zhoucun District
桓台县	Huantai County
高青县	Gaoqing County
沂源县	Yiyuan County
枣庄	Zaozhuang
薛城区	Xuecheng District
峄城区	Yicheng District
台儿庄区	Taierzhuang District
山亭区	Shanting District
滕州市	The city of Tengzhou
东营	Dongying
东营区	Dongying District
河口区	Estuary
垦利县	Kenli County
利津县	Lijin County
广饶县	Guangrao County
烟台	Yantai
芝罘区	Zhifu District
福山区	Fushan District
牟平区	Muping District
莱山区	Laishan District
长岛县	Long Island County
龙口市	Longkou City
莱阳市	The city of Laiyang
莱州市	The city of Laizhou
蓬莱市	The city of Penglai
招远市	The city of Zhaoyuan
栖霞市	The city of Qixia
海阳市	The city of Haiyang
潍坊	Weifang
潍城区	Weicheng District
寒亭区	Hanting District
坊子区	Fangzi District
奎文区	Kuiwei District
临朐县	Linqu County
昌乐县	Changle County
青州市	The city of Qingzhou
诸城市	Zhucheng City
寿光市	Shouguang City
安丘市	The city of Anqiu
高密市	Gaomi City
昌邑市	The city of Changyi
济宁	Jining
任城区	Rencheng District
微山县	Weishan County
鱼台县	Yutai County
金乡县	Jinxiang County
嘉祥县	Jiaxiang County
汶上县	Wenshang County
泗水县	Surabaya County
梁山县	Liangshan County
曲阜市	The city of Qufu
兖州市	The city of Yanzhou
邹城市	The city of Zoucheng
泰安	Tai'an
泰山区	Taishan District
岱岳区	Daiyue District
宁阳县	Ningyang County
东平县	Dongping County
新泰市	The city of Xintai
肥城市	The city of Feicheng
威海	Weihai
环翠区	Huancui District
文登市	The city of Wendeng
荣成市	The city of Rongcheng
乳山市	The city of Rushan
日照	Sunshine
东港区	Donggang District
岚山区	Arashiyama District
五莲县	Wulian County
莒　县	Juxian
莱芜	Laiwu
莱城区	Laicheng District
钢城区	Steel city
临沂	Linyi
兰山区	Lanshan District
罗庄区	Luozhuang District
河东区	Hedong District
沂南县	Yinan County
郯城县	Tancheng County
沂水县	Yishui County
苍山县	Cangshan County
费　县	Feixian County
平邑县	Pingyi County
莒南县	Junan County
蒙阴县	Mengyin County
临沭县	Linshu County
德州	Texas
德城区	Decheng District
陵　县	Lingxian County
宁津县	Ningjin County
庆云县	Qingyun County
临邑县	Linyi County
齐河县	Qihe County
平原县	Plain county
夏津县	Xiajin County
武城县	Wucheng County
乐陵市	The city of Leling
禹城市	The city of Yucheng
聊城	Liaocheng
东昌府区	Dongchangfu District
阳谷县	Yanggu County
莘　县	Shenxian
茌平县	Chiping County
东阿县	Dong'e County
冠　县	Guanxian
高唐县	Gaotang County
临清市	Linqing City
滨州	Binzhou
滨城区	Bincheng District
惠民县	Huimin County
阳信县	Yangxin County
无棣县	Wudi County
沾化县	Zhanhua County
博兴县	Boxing County
邹平县	Zou Pingxian
菏泽	Heze
牡丹区	Peony District
曹　县	Caoxian
单　县	Shanxian County
成武县	Chengwu County
巨野县	Juye County
郓城县	Yuncheng County
鄄城县	Juancheng County
定陶县	Dingtao County
东明县	Dongming County
河南	Henan
郑州	Zhengzhou
中原区	The Central Plains area
二七区	The two seven district
管城回族区	Guancheng Hui District
金水区	Jinshui District
上街区	Shangjie District
惠济区	Huiji District
中牟县	Zhongmu County
巩义市	The city of Gongyi
荥阳市	The city of Xingyang
新密市	The city of Xinmi
新郑市	The city of Xinzheng
登封市	The city of Dengfeng
开封	Kaifeng
龙亭区	Longting District
顺河回族区	Shunhe Hui District
禹王台区	Yuwangtai District
金明区	Jinming District
杞　县	Qixian County
通许县	Tongxu County
尉氏县	Weishi County
开封县	Kaifeng County
兰考县	Lankao County
洛阳	Luoyang
老城区	The old city
西工区	Xigong District
瀍河回族区	Chanhe Hui District
涧西区	Jianxi District
吉利区	Jili District
洛龙区	Luolong District
孟津县	Mengjin County
新安县	Xin'an County
栾川县	Luanchuan County
嵩　县	Songxian
汝阳县	Ruyang County
宜阳县	Yiyang County
洛宁县	Luoning County
伊川县	Yichuan County
偃师市	The city of Yanshi
平顶山	Pingdingshan
卫东区	Weidong District
石龙区	Shilong District
湛河区	Zhanhe District
宝丰县	Baofeng County
叶　县	Yexian County
鲁山县	Lushan Mountain County
郏　县	Jiaxian
舞钢市	The city of Wugang
汝州市	The city of Ruzhou
安阳	Anyang
文峰区	Wenfeng District
北关区	Beiguan District
殷都区	Yindu District
龙安区	Longan District
安阳县	Anyang County
汤阴县	Tangyin County
滑　县	Huaxian
内黄县	Neihuang County
林州市	The city of Linzhou
鹤壁	Hebi
鹤山区	Heshan District
山城区	The mountain area
淇滨区	Qibin District
浚　县	Xunxian County
淇　县	Qixian County
新乡	Xinxiang
红旗区	Red zone
卫滨区	Weibin District
凤泉区	Fengquan District
牧野区	Makino District
新乡县	Xinxiang County
获嘉县	Huojia County
原阳县	Yuanyang County
延津县	Yanjin County
封丘县	Fengqiu County
长垣县	Changyuan County
卫辉市	The city of Weihui
辉县市	The city of Huixian
焦作	Jiaozuo
解放区	Jiefang District
中站区	Zhongzhan District
马村区	Macun District
山阳区	Shanyang District
修武县	Xiuwu County
博爱县	Boai County
武陟县	Wuzhi County
温　县	Wenxian County
沁阳市	The city of Qinyang
孟州市	The city of Mengzhou
濮阳	Puyang
华龙区	Hualong District
清丰县	Qingfeng County
南乐县	Nanle County
范　县	Fan County
台前县	Taiqian County
濮阳县	Puyang County
许昌	Xuchang
魏都区	Weidu District
许昌县	Xuchang County
鄢陵县	Yanling County
襄城县	Xiangcheng County
禹州市	The city of Yuzhou
长葛市	The city of Changge
漯河	Luohe
源汇区	Yuanhui District
郾城区	Yancheng District
召陵区	Shaoling District
舞阳县	Wuyang County
临颍县	Linying County
三门峡	Sanmenxia
湖滨区	The Lake District
渑池县	Mianchi County
陕　县	Shanxian
卢氏县	Lushi County
义马市	The city of Yima
灵宝市	Lingbao City
南阳	Nanyang
宛城区	Wancheng District
卧龙区	Wolong District
南召县	In Nanzhao County
方城县	Fangcheng County
西峡县	Xixia County
镇平县	Zhenping county
内乡县	Neixiang County
淅川县	Xichuan County
社旗县	Sheqi County
唐河县	Tanghe County
新野县	Xinye County
桐柏县	Tongbai County
邓州市	The city of Dengzhou
商丘	Shangqiu
梁园区	Beam Park
睢阳区	Suiyang District
民权县	Civil County
睢　县	Suixian
宁陵县	Ningling County
柘城县	Zhecheng County
虞城县	Yucheng County
夏邑县	Xiayi County
永城市	The city of Yongcheng
信阳	Xinyang
浉河区	The Shihe River District
平桥区	Pingqiao District
罗山县	Luoshan County
光山县	Guangshan County
新　县	Xinxian County
商城县	Shangcheng County
固始县	Gushi County
潢川县	Huangchuan County
淮滨县	Huaibin County
息　县	Xixian County
周口	Zhoukou
川汇区	Chuanhui District
扶沟县	Fugou County
西华县	Xihua County
商水县	Shangshui County
沈丘县	Shenqiu County
郸城县	Dancheng County
淮阳县	Huaiyang County
太康县	Taikang County
鹿邑县	Luyi County
项城市	The city of Xiangcheng
驻马店	Zhumadian
驿城区	Yicheng District
西平县	Xiping County
上蔡县	Shangcai County
平舆县	Pingyu County
正阳县	Zhengyang County
确山县	Queshan County
泌阳县	Biyang County
汝南县	Ru'nan County
遂平县	Suiping County
新蔡县	Xincai County
济源	Jiyuan
湖北	Hubei
武汉	Wuhan
江岸区	Jiang'an District
江汉区	Jianghan District
硚口区	Qiaokou District
汉阳区	Hanyang District
武昌区	Wuchang District
洪山区	Hongshan District
东西湖区	Dongxihu District
汉南区	Hannan District
蔡甸区	Caidian District
江夏区	Jiangxia District
黄陂区	Huangpi District
新洲区	Xinzhou District
黄石	Huangshi
黄石港区	The port of Huangshi
西塞山区	Xisaishan District
下陆区	Xialu District
铁山区	Tieshan District
阳新县	Yangxin County
大冶市	The city of Daye
十堰	Shiyan
茅箭区	Maojian District
张湾区	Zhangwan District
郧　县	Yunxian
郧西县	Yunxi County
竹山县	Zhushan County
竹溪县	Zhuxi County
房　县	Fangxian
丹江口市	The city of Danjiangkou
宜昌	Yichang
西陵区	Xiling District
伍家岗区	Wujiagang District
点军区	Dianjun District
猇亭区	Xiaoting District
夷陵区	Yiling District
远安县	Yuan'an County
兴山县	Xingshan County
秭归县	Zigui County
长阳土家族自治县	Changyang Tujia Autonomous County
五峰土家族自治县	Tujia Autonomous County of the five peaks
宜都市	The city of Yidu
当阳市	Dangyang city
枝江市	The city of Zhijiang
襄阳	Xiangyang
襄城区	Xiangcheng District
樊城区	Fancheng District
襄州区	Xiangzhou District
南漳县	Nanzhang County
谷城县	Gucheng County
保康县	Baokang County
老河口市	Laohekou City
枣阳市	The city of Jujube
宜城市	The city of Yicheng
鄂州	Ezhou
梁子湖区	Liangzi Lake
华容区	Huarong District
鄂城区	Hubei city
荆门	Jingmen
东宝区	Dongbao District
掇刀区	Duodao District
京山县	Jingshan County
沙洋县	Shayang County
钟祥市	The city of Zhongxiang
孝感	Xiaogan
孝南区	Xiaonan District
孝昌县	Xiaochang County
大悟县	Dawu County
云梦县	Yunmeng County
应城市	Should the city
安陆市	The city of Anlu
汉川市	The city of Hanchuan
荆州	Jingzhou
沙市区	Shashi
荆州区	Jingzhou District
公安县	Gongan County
监利县	Jianli County
江陵县	Jiangling County
石首市	Shishou City
洪湖市	The city of Honghu
松滋市	The city of Songzi
黄冈	Huanggang
黄州区	Huangzhou District
团风县	Tuanfeng County
红安县	Hong'an County
罗田县	Luotian County
英山县	Yingshan County
浠水县	Xishui County
蕲春县	Qichun County
黄梅县	Huangmei County
麻城市	Macheng City
武穴市	The city of Wuxue
咸宁	Xianning
咸安区	Xian'an District
嘉鱼县	Jiayu County
通城县	Tongcheng County
崇阳县	Chongyang County
通山县	Tongshan County
赤壁市	The city of Chibi
随州	Suizhou
曾都区	Zengdou District
随县	With the county
广水市	The city of Guangshui
恩施	Enshi
恩施市	The city of Enshi
建始县	Jianshi County
巴东县	Badong County
宣恩县	Xuanen County
咸丰县	Xianfeng County
来凤县	Laifeng County
鹤峰县	Hefeng County
仙桃	Xiantao
潜江	Qianjiang
天门	Tianmen
神农架	Shennongjia
湖南	Hunan
长沙	Changsha
芙蓉区	Furong district
天心区	Tianxin District
岳麓区	Yuelu District
开福区	Kaifu District
雨花区	Yuhua District
长沙县	Changsha County
望城区	Wangcheng District
宁乡县	Ningxiang County
浏阳市	The city of Liuyang
株洲	Zhuzhou
荷塘区	Hetang District
芦淞区	Lusong District
石峰区	Shifeng District
天元区	Tianyuan District
株洲县	Zhuzhou County
攸　县	Youxian
茶陵县	Chaling County
炎陵县	Yanling County
醴陵市	The city of Liling
湘潭	Xiangtan
雨湖区	Yuhu District
岳塘区	Yuetang District
湘潭县	Xiangtan County
湘乡市	The city of Xiangxiang
韶山市	The city of Shaoshan
衡阳	Hengyang
珠晖区	Zhuhui District
雁峰区	Yanfeng District
石鼓区	Shigu District
